"types"	"counts"
"834"	"ARHGEF17"	11
"835"	"ARHGEF18"	6
"836"	"ARHGEF19"	3
"837"	"ARHGEF2"	3
"838"	"ARHGEF25"	3
"839"	"ARHGEF26"	5
"840"	"ARHGEF28"	4
"841"	"ARHGEF35"	1
"842"	"ARHGEF37"	1
"843"	"ARHGEF4"	5
"844"	"ARHGEF40"	5
"845"	"ARHGEF5"	3
"846"	"ARHGEF6"	7
"847"	"ARHGEF7"	2
"848"	"ARHGEF9"	4
"849"	"ARID1A"	19
"850"	"ARID1B"	14
"851"	"ARID2"	18
"852"	"ARID3A"	1
"853"	"ARID3B"	2
"854"	"ARID3C"	3
"855"	"ARID4A"	10
"856"	"ARID4B"	6
"857"	"ARID5A"	2
"858"	"ARID5B"	11
"859"	"ARIH1"	1
"860"	"ARIH2"	1
"861"	"ARIH2OS"	1
"862"	"ARL1"	3
"863"	"ARL11"	1
"864"	"ARL13A"	2
"865"	"ARL13B"	2
"866"	"ARL14"	2
"867"	"ARL14EP"	1
"868"	"ARL3"	1
"869"	"ARL4A"	1
"870"	"ARL4C"	1
"871"	"ARL4D"	1
"872"	"ARL5A"	1
"873"	"ARL5B"	3
"874"	"ARL6IP1"	1
"875"	"ARL6IP5"	1
"876"	"ARL6IP6"	3
"877"	"ARL8A"	1
"878"	"ARL8B"	3
"879"	"ARL9"	1
"880"	"ARMC1"	1
"881"	"ARMC10"	2
"882"	"ARMC12"	1
"883"	"ARMC2"	2
"884"	"ARMC3"	5
"885"	"ARMC4"	11
"886"	"ARMC5"	5
"887"	"ARMC6"	5
"888"	"ARMC7"	2
"889"	"ARMC8"	4
"890"	"ARMC9"	5
"891"	"ARMCX2"	7
"892"	"ARMCX3"	2
"893"	"ARMCX5"	4
"894"	"ARMCX6"	1
"895"	"ARMT1"	2
"896"	"ARNT"	9
"897"	"ARNT2"	5
"898"	"ARNTL"	2
"899"	"ARPC1B"	2
"900"	"ARPC2"	1
"901"	"ARPC3"	1
"902"	"ARPC4"	1
"903"	"ARPIN"	1
"904"	"ARPP21"	11
"905"	"ARR3"	3
"906"	"ARRB1"	1
"907"	"ARRB2"	1
"908"	"ARRDC2"	3
"909"	"ARRDC3"	2
"910"	"ARRDC4"	2
"911"	"ARRDC5"	3
"912"	"ARSA"	2
"913"	"ARSB"	2
"914"	"ARSD"	4
"915"	"ARSE"	3
"916"	"ARSF"	5
"917"	"ARSG"	1
"918"	"ARSH"	1
"919"	"ARSI"	6
"920"	"ARSJ"	3
"921"	"ARSK"	6
"922"	"ART1"	6
"923"	"ART3"	1
"924"	"ART4"	4
"925"	"ART5"	1
"926"	"ARV1"	3
"927"	"ARVCF"	3
"928"	"ARX"	1
"929"	"AS3MT"	1
"930"	"ASAH1"	1
"931"	"ASAH2"	4
"932"	"ASAH2B"	1
"933"	"ASAP1"	11
"934"	"ASAP2"	8
"935"	"ASAP3"	2
"936"	"ASB1"	3
"937"	"ASB10"	4
"938"	"ASB13"	1
"939"	"ASB15"	5
"940"	"ASB16"	3
"941"	"ASB17"	4
"942"	"ASB18"	1
"943"	"ASB2"	6
"944"	"ASB4"	7
"945"	"ASB5"	2
"946"	"ASB6"	2
"947"	"ASB8"	4
"948"	"ASB9"	2
"949"	"ASCC1"	1
"950"	"ASCC2"	1
"951"	"ASCC3"	14
"952"	"ASCL1"	5
"953"	"ASF1B"	2
"954"	"ASGR1"	1
"955"	"ASGR2"	2
"956"	"ASH1L"	13
"957"	"ASH2L"	3
"958"	"ASIC1"	1
"959"	"ASIC2"	5
"960"	"ASIC3"	4
"961"	"ASIC4"	2
"962"	"ASIC5"	8
"963"	"ASL"	2
"964"	"ASMT"	3
"965"	"ASMTL"	4
"966"	"ASNA1"	1
"967"	"ASNS"	5
"968"	"ASNSD1"	2
"969"	"ASPA"	3
"970"	"ASPDH"	1
"971"	"ASPG"	4
"972"	"ASPH"	9
"973"	"ASPHD1"	1
"974"	"ASPHD2"	5
"975"	"ASPM"	28
"976"	"ASPN"	3
"977"	"ASPRV1"	3
"978"	"ASPSCR1"	3
"979"	"ASRGL1"	1
"980"	"ASS1"	2
"981"	"ASTE1"	8
"982"	"ASTL"	2
