"types"	"counts"
"834"	"ARCN1"	4
"835"	"AREG"	1
"836"	"AREL1"	4
"837"	"ARF1"	4
"838"	"ARF3"	1
"839"	"ARF4"	2
"840"	"ARF5"	4
"841"	"ARF6"	5
"842"	"ARFGAP2"	5
"843"	"ARFGEF1"	10
"844"	"ARFGEF2"	1
"845"	"ARFIP1"	3
"846"	"ARFIP2"	1
"847"	"ARFRP1"	1
"848"	"ARG1"	4
"849"	"ARG2"	5
"850"	"ARGFX"	9
"851"	"ARGFXP2"	2
"852"	"ARGLU1"	5
"853"	"ARHGAP1"	8
"854"	"ARHGAP10"	2
"855"	"ARHGAP11A"	1
"856"	"ARHGAP11B"	2
"857"	"ARHGAP12"	2
"858"	"ARHGAP15"	1
"859"	"ARHGAP17"	2
"860"	"ARHGAP18"	4
"861"	"ARHGAP20"	7
"862"	"ARHGAP21"	2
"863"	"ARHGAP22"	3
"864"	"ARHGAP23"	2
"865"	"ARHGAP24"	2
"866"	"ARHGAP25"	2
"867"	"ARHGAP26"	1
"868"	"ARHGAP27"	1
"869"	"ARHGAP28"	9
"870"	"ARHGAP29"	1
"871"	"ARHGAP30"	6
"872"	"ARHGAP31"	10
"873"	"ARHGAP32"	6
"874"	"ARHGAP33"	4
"875"	"ARHGAP36"	5
"876"	"ARHGAP39"	31
"877"	"ARHGAP4"	10
"878"	"ARHGAP40"	1
"879"	"ARHGAP42"	20
"880"	"ARHGAP5"	4
"881"	"ARHGAP5-AS1"	3
"882"	"ARHGAP6"	16
"883"	"ARHGAP9"	2
"884"	"ARHGDIA"	3
"885"	"ARHGDIB"	4
"886"	"ARHGDIG"	1
"887"	"ARHGEF10"	15
"888"	"ARHGEF10L"	1
"889"	"ARHGEF11"	6
"890"	"ARHGEF12"	3
"891"	"ARHGEF16"	1
"892"	"ARHGEF17"	17
"893"	"ARHGEF18"	2
"894"	"ARHGEF19"	1
"895"	"ARHGEF2"	5
"896"	"ARHGEF25"	2
"897"	"ARHGEF26"	43
"898"	"ARHGEF26-AS1"	43
"899"	"ARHGEF3"	3
"900"	"ARHGEF33"	4
"901"	"ARHGEF35"	5
"902"	"ARHGEF37"	1
"903"	"ARHGEF40"	7
"904"	"ARHGEF5"	5
"905"	"ARHGEF6"	7
"906"	"ARHGEF7"	8
"907"	"ARHGEF9"	4
"908"	"ARID2"	3
"909"	"ARID3A"	3
"910"	"ARID3C"	16
"911"	"ARID4A"	4
"912"	"ARID4B"	3
"913"	"ARID5A"	5
"914"	"ARID5B"	2
"915"	"ARIH2"	2
"916"	"ARL10"	1
"917"	"ARL11"	3
"918"	"ARL13A"	5
"919"	"ARL13B"	8
"920"	"ARL14"	44
"921"	"ARL14EP"	2
"922"	"ARL15"	3
"923"	"ARL16"	3
"924"	"ARL17A"	1
"925"	"ARL17B"	1
"926"	"ARL2"	12
"927"	"ARL2-SNX15"	12
"928"	"ARL2BP"	2
"929"	"ARL4A"	6
"930"	"ARL4C"	5
"931"	"ARL4D"	1
"932"	"ARL5A"	1
"933"	"ARL5C"	4
"934"	"ARL6"	7
"935"	"ARL6IP1"	1
"936"	"ARL6IP4"	2
"937"	"ARL6IP5"	3
"938"	"ARL6IP6"	1
"939"	"ARL8A"	4
"940"	"ARL8B"	3
"941"	"ARL9"	2
"942"	"ARMC1"	11
"943"	"ARMC10"	16
"944"	"ARMC12"	2
"945"	"ARMC2"	3
"946"	"ARMC3"	2
"947"	"ARMC4"	2
"948"	"ARMC6"	1
"949"	"ARMC7"	2
"950"	"ARMC8"	32
"951"	"ARMC9"	3
"952"	"ARMCX1"	5
"953"	"ARMCX2"	5
"954"	"ARMCX3"	5
"955"	"ARMCX4"	5
"956"	"ARMCX5"	5
"957"	"ARMCX5-GPRASP2"	5
"958"	"ARMCX6"	5
"959"	"ARMS2"	2
"960"	"ARNT"	7
"961"	"ARNT2"	3
"962"	"ARNTL"	3
"963"	"ARNTL2"	6
"964"	"ARPC1A"	19
"965"	"ARPC1B"	19
"966"	"ARPC2"	5
"967"	"ARPC3"	1
"968"	"ARPC4"	3
"969"	"ARPC4-TTLL3"	3
"970"	"ARPC5"	5
"971"	"ARPC5L"	6
"972"	"ARPM1"	56
"973"	"ARPP19"	2
