"types"	"counts"
"762"	"C2CD2"	2
"763"	"C2CD2L"	1
"764"	"C2CD3"	2
"765"	"C2CD5"	3
"766"	"C2ORF16"	3
"767"	"C2ORF44"	1
"768"	"C2ORF71"	1
"769"	"C2ORF83"	2
"770"	"C2ORF88"	1
"771"	"C3"	2
"772"	"C3AR1"	1
"773"	"C3ORF17"	1
"774"	"C3ORF33"	1
"775"	"C3ORF52"	1
"776"	"C3ORF84"	1
"777"	"C4ORF33"	2
"778"	"C4ORF50"	1
"779"	"C5"	1
"780"	"C5ORF15"	1
"781"	"C5ORF22"	1
"782"	"C5ORF24"	1
"783"	"C5ORF34"	2
"784"	"C5ORF38"	1
"785"	"C5ORF42"	1
"786"	"C6"	4
"787"	"C6ORF10"	1
"788"	"C6ORF120"	1
"789"	"C6ORF165"	3
"790"	"C6ORF58"	1
"791"	"C6ORF62"	1
"792"	"C7"	4
"793"	"C7ORF26"	1
"794"	"C7ORF31"	2
"795"	"C7ORF34"	1
"796"	"C7ORF49"	1
"797"	"C7ORF55"	1
"798"	"C7ORF55-LUC7L2"	1
"799"	"C7ORF60"	2
"800"	"C8A"	2
"801"	"C8B"	1
"802"	"C8ORF22"	1
"803"	"C8ORF34"	4
"804"	"C8ORF37"	1
"805"	"C8ORF58"	1
"806"	"C8ORF59"	2
"807"	"C9"	1
"808"	"C9ORF117"	1
"809"	"C9ORF131"	2
"810"	"C9ORF135"	2
"811"	"C9ORF152"	1
"812"	"C9ORF173"	1
"813"	"C9ORF41"	1
"814"	"CA10"	1
"815"	"CA12"	1
"816"	"CA3"	1
"817"	"CA4"	2
"818"	"CA6"	1
"819"	"CABIN1"	1
"820"	"CABP5"	1
"821"	"CABS1"	1
"822"	"CABYR"	1
"823"	"CACFD1"	1
"824"	"CACHD1"	2
"825"	"CACNA1A"	2
"826"	"CACNA1B"	1
"827"	"CACNA1C"	3
"828"	"CACNA1D"	5
"829"	"CACNA1E"	4
"830"	"CACNA1F"	2
"831"	"CACNA1G"	1
"832"	"CACNA1H"	2
"833"	"CACNA1I"	2
"834"	"CACNA1S"	3
"835"	"CACNA2D1"	2
"836"	"CACNA2D3"	1
"837"	"CACNA2D4"	2
"838"	"CACNB1"	1
"839"	"CACNB2"	1
"840"	"CACNG5"	1
"841"	"CACNG6"	1
"842"	"CACNG7"	1
"843"	"CACNG8"	2
"844"	"CACYBP"	1
"845"	"CAD"	1
"846"	"CADM1"	1
"847"	"CADM2"	4
"848"	"CADM3"	1
"849"	"CADPS"	1
"850"	"CADPS2"	2
"851"	"CALCOCO1"	1
"852"	"CALCR"	2
"853"	"CALHM2"	1
"854"	"CAMK1D"	1
"855"	"CAMK2B"	1
"856"	"CAMKK2"	2
"857"	"CAMSAP1"	1
"858"	"CAMSAP3"	1
"859"	"CAMTA1"	2
"860"	"CAMTA2"	1
"861"	"CAND1"	2
"862"	"CAPN10"	2
"863"	"CAPN11"	2
"864"	"CAPN15"	1
"865"	"CAPN2"	1
"866"	"CAPN3"	1
"867"	"CAPN6"	1
"868"	"CAPNS2"	1
"869"	"CAPZA1"	1
"870"	"CAPZB"	2
"871"	"CARD10"	2
"872"	"CARD11"	2
"873"	"CARD16"	1
"874"	"CARD6"	3
"875"	"CARKD"	1
"876"	"CARTPT"	1
"877"	"CASC1"	2
"878"	"CASC3"	1
"879"	"CASC4"	1
"880"	"CASC5"	1
"881"	"CASD1"	1
"882"	"CASK"	1
"883"	"CASP10"	2
"884"	"CASP14"	1
"885"	"CASP3"	1
"886"	"CASP5"	1
"887"	"CASP6"	2
"888"	"CASP7"	1
"889"	"CASP8"	12
"890"	"CASP8AP2"	1
"891"	"CASQ2"	2
"892"	"CASZ1"	2
"893"	"CAT"	1
"894"	"CATIP"	1
"895"	"CATSPER1"	1
"896"	"CATSPER2"	1
"897"	"CATSPER4"	1
"898"	"CATSPERD"	2
"899"	"CBFA2T3"	2
"900"	"CBL"	1
"901"	"CBLL1"	1
"902"	"CBLN4"	2
"903"	"CBWD2"	1
"904"	"CBWD7"	1
"905"	"CBX3"	1
"906"	"CBX4"	1
"907"	"CC2D1A"	1
"908"	"CC2D1B"	1
"909"	"CCAR1"	2
"910"	"CCBL2"	1
"911"	"CCDC102B"	2
"912"	"CCDC105"	2
"913"	"CCDC107"	1
"914"	"CCDC108"	1
"915"	"CCDC110"	1
"916"	"CCDC116"	1
"917"	"CCDC121"	1
"918"	"CCDC129"	2
"919"	"CCDC13"	1
"920"	"CCDC132"	2
"921"	"CCDC138"	1
"922"	"CCDC14"	2
"923"	"CCDC141"	1
"924"	"CCDC144A"	1
"925"	"CCDC144NL"	1
"926"	"CCDC151"	1
"927"	"CCDC155"	2
"928"	"CCDC158"	1
"929"	"CCDC170"	1
"930"	"CCDC171"	1
"931"	"CCDC18"	2
"932"	"CCDC180"	4
"933"	"CCDC181"	2
"934"	"CCDC183"	1
"935"	"CCDC186"	1
"936"	"CCDC25"	1
"937"	"CCDC34"	1
"938"	"CCDC36"	1
"939"	"CCDC38"	2
"940"	"CCDC39"	1
"941"	"CCDC40"	2
"942"	"CCDC42"	1
"943"	"CCDC50"	2
"944"	"CCDC51"	1
"945"	"CCDC57"	1
"946"	"CCDC63"	1
"947"	"CCDC65"	1
"948"	"CCDC67"	1
"949"	"CCDC70"	1
"950"	"CCDC73"	1
"951"	"CCDC74A"	1
"952"	"CCDC77"	1
"953"	"CCDC8"	1
"954"	"CCDC83"	1
"955"	"CCDC85A"	1
"956"	"CCDC88A"	3
"957"	"CCDC88C"	2
"958"	"CCDC89"	1
"959"	"CCDC9"	2
"960"	"CCDC93"	1
"961"	"CCER1"	2
"962"	"CCKAR"	1
"963"	"CCKBR"	1
"964"	"CCL1"	1
"965"	"CCL2"	1
"966"	"CCL23"	1
"967"	"CCL25"	1
"968"	"CCL3"	1
"969"	"CCL8"	1
"970"	"CCM2L"	1
"971"	"CCNA1"	2
"972"	"CCNB1IP1"	1
"973"	"CCNB3"	2
"974"	"CCNE1"	1
"975"	"CCNE2"	2
"976"	"CCNG1"	1
"977"	"CCNG2"	2
"978"	"CCNJ"	1
"979"	"CCNK"	1
"980"	"CCNT2"	1
"981"	"CCP110"	3
"982"	"CCPG1"	2
"983"	"CCR2"	2
"984"	"CCRN4L"	2
